Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
60,59,33,2023-02-13,32-327,CHO,,ATL,W (+6),1,33:32,9.0,12.0,.750,4.0,5.0,.800,4,4.0,1.000,0.0,5.0,5.0,8.0,2.0,0.0,1.0,3.0,26.0,28.1,+3,7.0,5.0,0.7142857142857143,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,24.0,90.0,5.0,26.500000000000004,107.7,5.983333333333333
61,60,34,2023-02-15,32-329,CHO,,SAS,W (+10),1,30:11,6.0,10.0,.600,0.0,0.0,,4,7.0,.571,0.0,5.0,5.0,3.0,1.0,0.0,3.0,3.0,16.0,10.6,+6,10.0,6.0,0.6,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,5.0,82.0,4.555555555555555,9.0,89.7,4.983333333333333
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,0.0,0.0,0.0,0.0,0.0
63,61,35,2023-02-24,32-338,CHO,@,MIN,W (+8),1,32:09,10.0,18.0,.556,2.0,3.0,.667,5,6.0,.833,3.0,10.0,13.0,5.0,2.0,1.0,2.0,2.0,27.0,26.5,+12,15.0,8.0,0.5333333333333333,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,22.0,66.0,3.6666666666666665,24.500000000000004,77.5,4.305555555555555
64,62,36,2023-02-25,32-339,CHO,,MIA,W (+5),1,30:09,8.0,14.0,.571,1.0,2.0,.500,4,5.0,.800,0.0,3.0,3.0,2.0,1.0,0.0,2.0,5.0,21.0,13.3,+2,12.0,7.0,0.5833333333333334,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,6.0,60.0,3.333333333333333,11.699999999999996,69.3,3.8499999999999996
65,63,37,2023-02-27,32-341,CHO,,DET,W (+11),1,35:35,8.0,15.0,.533,0.0,3.0,.000,3,3.0,1.000,0.0,5.0,5.0,6.0,2.0,0.0,5.0,1.0,19.0,14.0,+6,12.0,8.0,0.6666666666666666,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,9.0,72.0,4.0,12.8,81.1,4.5055555555555555
66,64,38,2023-03-01,32-343,CHO,,PHO,L (-14),1,33:08,5.0,14.0,.357,3.0,8.0,.375,2,4.0,.500,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,15.0,9.4,-9,6.0,2.0,0.3333333333333333,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,3.0,45.0,2.5,8.600000000000003,56.40000000000001,3.133333333333334
67,65,39,2023-03-03,32-345,CHO,,ORL,L (-11),1,33:59,7.0,12.0,.583,1.0,1.0,1.000,2,2.0,1.000,0.0,1.0,1.0,7.0,1.0,0.0,5.0,3.0,17.0,11.4,-14,11.0,6.0,0.5454545454545454,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,7.0,54.0,3.0,10.6,69.40000000000002,3.8555555555555565
68,66,40,2023-03-05,32-347,CHO,@,BRK,L (-16),1,34:59,6.0,13.0,.462,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,3.0,0.0,1.0,1.0,3.0,12.0,7.1,-9,12.0,6.0,0.5,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,6.0,38.0,2.111111111111111,7.099999999999998,46.0,2.5555555555555554
69,67,41,2023-03-07,32-349,CHO,@,NYK,W (+7),1,36:29,9.0,17.0,.529,3.0,6.0,.500,2,3.0,.667,4.0,5.0,9.0,8.0,0.0,1.0,3.0,2.0,23.0,21.1,+14,11.0,6.0,0.5454545454545454,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,18.0,60.0,3.333333333333333,20.300000000000004,73.0,4.055555555555555
70,68,42,2023-03-09,32-351,CHO,@,DET,W (+10),1,33:23,1.0,9.0,.111,0.0,2.0,.000,0,0.0,,0.0,5.0,5.0,6.0,0.0,1.0,3.0,2.0,2.0,-1.3,-8,7.0,1.0,0.1428571428571428,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,2.0,78.0,4.333333333333333,-1.300000000000001,103.4,5.7444444444444445
71,69,43,2023-03-11,32-353,CHO,,UTA,L (-8),1,34:44,4.0,10.0,.400,1.0,5.0,.200,2,2.0,1.000,0.0,3.0,3.0,4.0,1.0,0.0,3.0,0.0,11.0,7.3,-17,5.0,3.0,0.6,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,4.0,73.0,4.055555555555555,6.5,87.59999999999998,4.866666666666665
72,70,44,2023-03-12,32-354,CHO,,CLE,L (-6),1,33:03,6.0,10.0,.600,1.0,2.0,.500,3,5.0,.600,1.0,3.0,4.0,6.0,1.0,0.0,1.0,3.0,16.0,15.2,+13,8.0,5.0,0.625,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,11.0,59.0,3.2777777777777777,13.999999999999996,67.0,3.7222222222222223
73,71,45,2023-03-14,32-356,CHO,,CLE,L (-16),1,29:20,4.0,8.0,.500,1.0,4.0,.250,1,2.0,.500,0.0,3.0,3.0,6.0,0.0,1.0,2.0,0.0,10.0,9.4,-22,4.0,3.0,0.75,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,8.0,68.0,3.7777777777777777,8.999999999999998,75.89999999999999,4.216666666666666
74,72,46,2023-03-17,32-359,CHO,,PHI,L (-39),1,21:48,2.0,4.0,.500,0.0,0.0,,2,2.0,1.000,0.0,5.0,5.0,2.0,1.0,0.0,1.0,0.0,6.0,6.9,-15,4.0,2.0,0.5,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,7.0,29.0,1.6111111111111112,6.100000000000001,47.5,2.638888888888889
75,73,47,2023-03-20,32-362,CHO,,IND,W (+6),1,33:32,8.0,15.0,.533,1.0,4.0,.250,5,6.0,.833,0.0,3.0,3.0,5.0,1.0,0.0,1.0,1.0,22.0,18.3,+26,11.0,7.0,0.6363636363636364,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,9.0,61.0,3.388888888888889,16.299999999999997,78.1,4.338888888888889
76,74,48,2023-03-23,33-000,CHO,@,NOP,L (-19),1,30:33,5.0,12.0,.417,1.0,5.0,.200,1,2.0,.500,0.0,3.0,3.0,6.0,1.0,0.0,2.0,0.0,12.0,9.3,-17,7.0,4.0,0.5714285714285714,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,6.0,48.0,2.6666666666666665,8.900000000000002,54.6,3.033333333333333
77,75,49,2023-03-24,33-001,CHO,@,DAL,W (+8),1,32:17,9.0,15.0,.600,1.0,2.0,.500,6,6.0,1.000,0.0,3.0,3.0,9.0,0.0,0.0,1.0,0.0,25.0,24.3,+10,13.0,8.0,0.6153846153846154,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,15.0,69.0,3.8333333333333335,21.9,81.19999999999999,4.51111111111111
78,76,50,2023-03-26,33-003,CHO,,DAL,W (+6),1,32:22,8.0,14.0,.571,1.0,1.0,1.000,5,5.0,1.000,1.0,5.0,6.0,4.0,0.0,0.0,3.0,2.0,22.0,16.6,+4,13.0,7.0,0.5384615384615384,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,10.0,67.0,3.7222222222222223,14.599999999999998,67.89999999999999,3.7722222222222217
79,77,,2023-03-28,33-005,CHO,@,OKC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,94.0,5.222222222222222,0.0,108.7,6.038888888888889
80,78,,2023-03-31,33-008,CHO,,CHI,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,53.0,2.9444444444444446,0.0,54.4,3.022222222222222
81,79,,2023-04-02,33-010,CHO,,TOR,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,54.0,3.0,0.0,68.70000000000002,3.8166666666666678
82,80,,2023-04-04,33-012,CHO,,TOR,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,62.0,3.4444444444444446,0.0,64.69999999999999,3.5944444444444437
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,0.0,0.0,0.0,0.0,0.0
84,81,,2023-04-07,33-015,CHO,,HOU,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,64.0,3.555555555555556,0.0,82.1,4.561111111111111
85,82,,2023-04-09,33-017,CHO,@,CLE,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,62.0,3.4444444444444446,0.0,80.1,4.449999999999999
